Image URL;Artiker Number;Title;Manufacturer;URL;Shipping Cost;Price;Stock;Condition;RAM;GPU;Processor;SSD vs HDD;Screen Size;Screen Resolution;Product Weight;Supplier;Positive Feedback
https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png;;Shop on eBay;;https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA;Unknown Shipping Cost;Unknown Price;Unknown stock;Unknown condition product;Unknown RAM;Unknown GPU;Unknown Processor;Unknown SSD | Unknown SSD;Unknown Screen Size;Unknown screen resolution;Unknown product weight;Unknown supplier;
https://i.ebayimg.com/thumbs/images/g/izQAAOSwW9FkSJjI/s-l300.jpg;204317375364;14 Inch Laptop For Win11 6G RAM 1920x1080 Resolution Screen Laptop With Touchpad;;https://www.ebay.com/itm/204317375364?hash=item2f9243bb84%3Ag%3AizQAAOSwW9FkSJjI&amdata=enc%3AAQAIAAAA4H7UE55ip2GWHBzuxJNeazHsSiqClikff9dfmXMXuzK8q7jnm54r%2Beh8A4WarN0cNUbLId0KFEYE6NY%2FyiMR0EJ9q3BIDNoB%2FyFCX9QDdLyJgVf7HI7LcbTokCL9B5FhUuwl6sALBHELY9235Fe1Exxjjb4f1SE3FGavZQRmNldBQOoGIhC4CTe23Fz8h7MlLHfYJ5p%2F%2B1BtUUFDv%2Fou3UeGKF9FvkaaXs1IDwxj7NybgTO5LHgLghXZ9Z%2F6fF5FGAIrckT0CyMlwWlPzQ5oywkkyiOKNYzBSKIdPzt90ukq%7Ctkp%3ABk9SR8innvq4Yg&LH_ItemCondition=1000%7C2010;204317375364;US $202.10;4 available;NewNew;;;As the description shows; | ;As the description shows;;;autobuycentre;96.5% positive feedback
https://i.ebayimg.com/thumbs/images/g/BtcAAOSwu99krwWm/s-l300.jpg;175814590974;Lenovo 500e Chromebook 2-in-1 laptop 11.6in HD TOUCH Intel Celeron N3450 4 GB...;Unbranded;https://www.ebay.com/itm/175814590974?hash=item28ef5dc1fe%3Ag%3ABtcAAOSwu99krwWm&amdata=enc%3AAQAIAAAA4G%2FNq3ushuWj02zdtUo%2FCQ6APRP1NNgUdHxmtCFaiQ4X1vA%2FVBzEf97zajLydvZS4fmwqqpoPQAPIx%2Bv8%2B7y4jpZfljiaTM6SuLsranCCht%2BiXIJ4VrMxgFiS3Nx20NluURNoJHR5S2UQvgkiSYJruHKqLpyvDVPd8LUE6X8nlPGOOLIVX%2BhD5QjqZADibg7XYCgQh1gjTiM8mb1gCjfTQqvnrzaaaNcs5z5myX15aXG4aUbzBGFom52cVWI%2Bpu7SatAyw1E14vQ0%2BiZNrDc1goR7dlSv5sqVV41vwjHQ2U%2F%7Ctkp%3ABk9SR8innvq4Yg&LH_ItemCondition=1000%7C2010;US $89.89;US $202.48;Stok tidak ada;NewNew;;;Does not apply; | ;Does not apply;;;atilliaonline;97.5% positive feedback
https://i.ebayimg.com/thumbs/images/g/DHkAAOSwSWVkOSHQ/s-l300.jpg;334833437819;"Samsung Chromebook 4 Silver 11.6"" Intel Celeron N4020 eMMC 32GB 4GB Laptop";Lenovo;https://www.ebay.com/itm/334833437819?epid=7044157629&hash=item4df5a0cc7b%3Ag%3ADHkAAOSwSWVkOSHQ&amdata=enc%3AAQAIAAAAwMMHSsl6Nk5CEN9FxVD0bRNdxALX7QyQ8u%2B2n%2FzTDgWt%2BqUimoh0%2BxZ0dIRebK30vEVubFea%2FaCW6SAeBRs1SSlUoiH%2BtAxZ%2BfYR4b%2F7u7qpdd%2BT%2FevYSUplgEcN6e4rtxhxZgH9JzaKU80%2BKnMyvwqf8mYk%2BU%2FS5vn7r%2FEoUmoqbnA2MdGLw6qc03dSXqBkQfj6fQktEjBvdNMg2D8YE%2ByEL4m%2BbqECoSxwa8UWjR7cOsQzhfQ884JHZPLF%2BncI8A%3D%3D%7Ctkp%3ABk9SR8innvq4Yg&LH_ItemCondition=1000%7C2010;US $35.61;US $202.99;Stok tidak ada;NewNew;4 GB;;Intel Celeron N4020;32 GB | 32 GB;11.6 in;;;missouri-liquidation;99.2% positive feedback
https://i.ebayimg.com/thumbs/images/g/ILgAAOSwJeBi9t~7/s-l300.jpg;185536105520;"HP ChromeBook 11.6"" (32GB HDD, AMD A4, 2.40 GHz, 4GB) Laptop - Black";Samsung;https://www.ebay.com/itm/185536105520?epid=13048646189&hash=item2b32d04c30%3Ag%3AILgAAOSwJeBi9t%7E7&amdata=enc%3AAQAIAAAA4EZjvZHoLcbJoSMVL9aeNI4L%2BR%2F7IVEfZj6tpzkGTD9ozUCGq4yEUwEjhFlD8TTRSxWGQvm%2BhaM1c7E1VDH4hUw8IPdSrGH9TNUTP%2BBEfpCSWu6KTuw7pHuFc6KcLo%2BqWr9s0CzUtsXViSoMh8VicIwKSGjEwOTd2K6DMGf0cK8IF5LfM%2FBuKJlBirvHoZyxQsN48YLkPIe4tpF3%2FL0hga6zHnH9C%2Bcynimojji3Z3rxD6Nc26S5yXJyIB22Kz6Mi%2BSPYiZ5cyr8sTeMuiua1Zk4h2TZ9i%2BLb9i1lijFxolW%7Ctkp%3ABk9SR8innvq4Yg&LH_ItemCondition=1000%7C2010;185536105520;US $200.00;2 available;NewNew;4 GB;AMD Radeon R4 Graphics;AMD A4;32 GB | 32 GB;11.6 in;1366 x 768;;jopori65;Contact seller
https://i.ebayimg.com/thumbs/images/g/UlEAAOSw0AJkibrA/s-l300.jpg;305019054637;14 Inch Laptop Quad Core J4105 8GB RAM 1920X1200 HD IPS Laptop Computer;HP;https://www.ebay.com/itm/305019054637?hash=item47048d6a2d%3Ag%3AUlEAAOSw0AJkibrA&amdata=enc%3AAQAIAAAA4EIiZqEcGz4Eg%2Fo5hbPS0gQjT8XJivUlz0oMC5%2FFpIT0E%2FEKA2JrE2CirjxlvSJMP14ZGqddmG2mlHSgyV5On6OGIaq8cordUzVf49nKKfkj01AOSdepfXLvq55Zsles0ZDPnTUmgmAdRWAHVBPaG2T2L1dtyogVD0Y9HjhJVV1eKDq7rQYC9dJUxdB7omVGGi9jHFkSfim6W0Pw%2BWLD%2FSoFjkFaRk2cLn48KrHZooxgw5YSgBTaAWSKSph5QbnakjA6ijtiRNCCYZWYDlwJQ%2BpAxsPq4nYhP2oxWnDZb5ZA%7Ctkp%3ABk9SR8qnnvq4Yg&LH_ItemCondition=1000%7C2010;305019054637;US $203.63/ea;5 available;NewNew;;;As the description shows; | ;As the description shows;;;tuadvicab;97.7% positive feedback
https://i.ebayimg.com/thumbs/images/g/vUkAAOSwiXRkicAR/s-l300.jpg;305019058515;14 Inch Laptop Laptop 8GB RAM Portable Laptop 1920X1200 Resolution;Unbranded;https://www.ebay.com/itm/305019058515?hash=item47048d7953%3Ag%3AvUkAAOSwiXRkicAR&amdata=enc%3AAQAIAAAA4O8y8CgPEQYw1S7v8lQIEsqwpSTE%2BtCA117lakIJJzhtcWMeWNjIkCqa9S9UX9L2QFzwnExiYneeg2wBcOMIeGvYZAAFADBfpKNYdcmRyFGlOYvDCjCMXLTYJiex%2BCOBLYXZOfPVmY8PlMcGhVC8g4BI2nH0GsZVZ6%2FvyqGCcf1NpfKE0DcGGFW7NjEe68KpFLhMGEq4HhIbWjENWVIqKITmqRfIgSCXqvCyaITTR9b3ex%2FZhngbEkqtUP7ivtgn1nc%2FtTXnr7a6ZROjim4kUZ5jFS1pB9y1e7Am3vLBpy4T%7Ctkp%3ABk9SR8qnnvq4Yg&LH_ItemCondition=1000%7C2010;305019058515;US $203.69/ea;5 available;NewNew;;;As the description shows; | ;As the description shows;;;tuadvicab;97.7% positive feedback
https://i.ebayimg.com/thumbs/images/g/nCEAAOSwN3NkIXoO/s-l300.jpg;185830536028;New 2022 HP Laptop Modl 14-CF2121WM 14” Intel Celeron N4120 8GB RAM 64 GB Win11H;Unbranded;https://www.ebay.com/itm/185830536028?hash=item2b445cf35c%3Ag%3AnCEAAOSwN3NkIXoO&amdata=enc%3AAQAIAAAA4GLXX2XMoD0s41sGHmHSFqd%2Fp%2B%2Fy1deU6ICYf%2B8%2BQtoogTSwQ6TYA1SzeE%2BPgbJmQeLlc6MtCN1pdKVkQL2gfIMrSlqyVZC7me%2BkrValR7oc4SJ5Urvl0lTvOSopRYRZ8LZU6It2AnnL71Kx2dVumGJRWdl4l5sAGeyzQUXu0tyAH5FnBuJS9mkn8WbXMqn4V3VXQhCswxhbczzdUsWaB1cL3GlPDcuiVPN2eOoOQ78bSezs9Wd52T%2FcgfadqStrBzPzbbSu71Tde3DkFQhDkB0aFSgsI%2FsZSy7tTwA%2BrS4s%7Ctkp%3ABk9SR8qnnvq4Yg&LH_ItemCondition=1000%7C2010;185830536028;US $204.00;Stok tidak ada;NewNew;8 GB;;Intel Celeron N;64 GB | 64 GB;14 in;;;bat-46;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/pYMAAOSwmpZkpSiw/s-l300.jpg;385733041456;"HP - 14"" Chromebook Laptop- Intel Celeron - 4GB Memory - 64GB eMMC Modern Gray";HP;https://www.ebay.com/itm/385733041456?epid=4058159071&hash=item59cf7b1d30%3Ag%3ApYMAAOSwmpZkpSiw&amdata=enc%3AAQAIAAAA4HOlWuHJmhFaO4bE7k0reXQKMQR6ptcFqoVtz63Q1HVgiaeFkAPxtGEzcOZ7hrngmKQ4gTF8I7zKd6AyIQ1SIKws0LjNEZNc97%2BbaXdSidpqO6yhFYPWGRMe0nnpN7Kl%2BqDFJ8L%2FgnioJNM0R%2BptHekdesVsKGItSD%2FgfthLL3vr7QzgGMN47L%2Fa0Mo2S6J3NfJM6wrd5Nb4tWcB%2BcaPywcYtYZ5O2BDWhqEyodTicxiXnmeENYV%2FiiUbZ3nfNWbDsAFMwJajDwQ5G0CzEXbJtXCowqVYrPTQg6fmlcl2jw2%7Ctkp%3ABk9SR8qnnvq4Yg&LH_ItemCondition=1000%7C2010;385733041456;US $204.99;4 available / 1 sold;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron; | ;14 in;1366 x 768;;dealtoyou;100% positive feedback
https://i.ebayimg.com/thumbs/images/g/gT4AAOSwh7lfdWWq/s-l300.jpg;304116489931;HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, C...;HP;https://www.ebay.com/itm/304116489931?epid=14037979612&hash=item46cec15ecb%3Ag%3AgT4AAOSwh7lfdWWq&amdata=enc%3AAQAIAAAAwJAdxYaINMXtR%2F4ykBsUIn6TsK14m8XqcO8ncdTR9zEoenngjro53cBhw9BqO4iEdM2juUDoyjtG%2FL6cUarI3%2FUL%2B6RLEK%2BeneHT%2BDpUxd3YKKz2xZw4NzuUd4%2F85riTgV9rtkiX20vMCeWdBaNHstCkZNfYyEr9mm0qb2qmf5nfYfc9iftZyIVqMgXBeANZGRO7ROu1b7h9A24qOkYZ0VZLJ487CZbl2z1tdwL4CvROZrljnDvRQz28OXEBtbAWPA%3D%3D%7Ctkp%3ABk9SR8qnnvq4Yg&LH_ItemCondition=1000%7C2010;304116489931;US $205.00;Stok tidak ada;NewNew;4 GB;Intel UHD Graphics 600;Intel Celeron;32 GB | 32 GB;14 in;1366 x 768;3.2lbs.;brittankries0;Contact seller
